,Country,Confirmed,proportion infected,Deaths,GDP,Population Density,2021 Population,Area,Literacy,Employment,Population 65 +,Foreigners
0,Albania,165096,5746.6,2601,14.8,100,2872933,28748,0.972488623,0.707483916,0.147590528,0.018336596
1,Algeria,202122,453.02,5739,145,19,44616624,2381741,0.774213647,0.896187488,0.053393321,0.003512408
2,Antigua and Barbuda,2625,2658.74,57,1.42,223,98731,442,0.990000001,0.994402643,0.088592371,0.296995337
3,Argentina,5245265,11501.3,114684,383,16,45605826,2780400,0.980848653,0.938704152,0.11686135,0.045017142
4,Armenia,254709,8581.47,5181,12.65,100,2968127,29743,0.996144569,0.783674591,0.119087004,0.065530827
5,Australia,92178,357.44,1196,1331,3,25788215,7692024,0.990000001,0.93135498,0.159199215,0.245967645
6,Austria,728696,8058.06,10933,429,108,9043070,83871,0.990000001,0.940970677,0.190272421,0.156604784
7,Azerbaijan,476409,4660.01,6370,42.61,118,10223342,86600,0.996144569,0.94019857,0.07150564,0.028578819
8,Bahamas,20288,5111.45,512,11.25,28,396913,13943,0.930000001,0.896187488,0.071339596,0.145592256
9,Bahrain,274524,15702.38,1388,38.47,2285,1748296,765,0.945379181,0.988719542,0.032942759,0.45
10,Bangladesh,1547176,930.33,27313,324,1127,166303498,147570,0.497935114,0.985970733,0.047454253,0.009
11,Belarus,522275,5530.9,4041,60.26,45,9442862,207600,0.970588122,0.939339723,0.151615791,0.09741391
12,Belgium,1229236,10567.41,25533,515,381,11632326,30528,0.990000001,0.917028543,0.189031942,0.14806523
13,Belize,19185,4738.04,397,1.76,18,404914,22966,0.765995959,0.896187488,0.042136373,0.015
14,Benin,21450,172.27,146,15.65,111,12451040,112622,0.366899467,0.976303963,0.038022344,0.033888451
15,Bhutan,2599,333.25,3,2.41,20,779898,38394,0.665611508,0.976084247,0.059223401,0.058776469
16,Bolivia,497984,4208.46,18681,36.69,11,11832940,1098581,0.945970404,0.986284825,0.059458605,0.012730997
17,Brazil,21283567,9945.9,592316,1445,25,213993437,8515767,0.909842206,0.923524455,0.073819391,0.00310642
18,Brunei,5586,1265.14,31,12.02,77,441532,5765,0.964680166,0.907100183,0.035254161,0.190020202
19,Bulgaria,487588,7069.91,20251,69.11,62,6896663,110879,0.9834546,0.851382549,0.216369402,0.010698113
20,Burkina Faso,14076,65.48,176,17.37,79,21497096,272967,0.260668548,0.981908014,0.01794309,0.04377902
21,Burundi,16356,133.46,38,3.26,440,12255433,27834,0.485584433,0.984617531,0.027556089,0.021371133
22,Cambodia,105981,625.39,2154,25.29,94,16946438,181035,0.775852324,0.983248925,0.042648071,0.012740548
23,Canada,1597789,4197.21,27590,1643,4,38067903,9984670,0.990000001,0.922751104,0.179866417,0.238524106
24,Chile,1648550,8580.67,37379,253,25,19212361,756102,0.957892556,0.865366013,0.124944285,0.012921036
25,China,108124,7.49,4849,14723,149,1444216107,9706961,0.951244771,0.971244491,0.089772205,0.393247267
26,Colombia,4945203,9646.19,126006,271,45,51265844,1141748,0.939235322,0.923680191,0.091393259,0.592691838
27,Costa Rica,515931,10039.42,6128,61.52,101,5139052,51100,0.976047643,0.965979173,0.122529324,0.021816024
